Job Title,Company Name,Location,Skills,Job Link,Salary
Python Developer,WeArt -,"Dammam, Saudi Arabia ",Full TimeExperienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Flask · Python · Software Engineering · Django · Computer Science · Design Patterns · HTML5 · Information Technology (IT),https://wuzzuf.net/jobs/p/cPvgV6Wt9Wjx-Python-Developer-WeArt-Dammam-Saudi-Arabia?o=1&l=sp&t=sj&a=python|search-v3|hpb,
Senior Python Developer,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Information Technology (IT) · Linux · Python,https://wuzzuf.net/jobs/p/ONfRqVhgKtiC-Senior-Python-Developer-Trufla-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb,
Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),https://wuzzuf.net/jobs/p/baSpZywTtKVF-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb,
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew -,"Alexandria, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · python development · RESTful API · Flask · Automation Testing · Docker · Computer Science · Information Technology (IT) · Software Development,https://wuzzuf.net/jobs/p/BE8wenbXs88G-Python-API-Developer-Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb,
Full Stack Python Developer (Open Edx Developer),Dolf -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 6 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Python · MySQL · MongoDB · JavaScript · HTML5 · Computer Science,https://wuzzuf.net/jobs/p/iu3t3cJ97TTT-Full-Stack-Python-Developer-Open-Edx-Developer-Dolf-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb,
Senior Python Developer,SURE International Technology -,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python Developer · Software Development · Computer Science · Python · Software Engineering · Git · HTML5 · CSS,https://wuzzuf.net/jobs/p/jITGU1cOLq2S-Senior-Python-Developer-SURE-International-Technology-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb,
Python Backend Developer,"Salney, Inc. -","Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · developer · Engineering · Software Engineering · Computer Science · Information Technology (IT) · Software Development,https://wuzzuf.net/jobs/p/6PEE7W1NTlW5-Python-Backend-Developer-Salney-Inc-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb,
Python Back-End Developer (Part-Time),Snuggs Egypt -,"New Cairo, Cairo, Egypt ",Part TimeFreelance / ProjectWork From HomeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · back-end · Back-End Developer · Computer Science · developer · Python · Software Development · Software Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/l2Q5ejbze43P-Python-Back-End-Developer-Part-Time-Snuggs-Egypt-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb,
Python Developer,Andela -,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeEntry Level · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Python · Technical Support,https://wuzzuf.net/jobs/p/1cbcpOIsGn6f-Python-Developer-Andela-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb,
Senior Software Engineer - Python,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django Framework · PHP Laravel · Information Technology (IT) · Computer Science · JavaScript · HTML · AWS,https://wuzzuf.net/jobs/p/bsPdVn3MAuoG-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb,
Flask Python Backend Developer.,Virtual Worker Now -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · backend · back-end · Flask · Python · Software Development · Computer Science · Web · Full-Stack,https://wuzzuf.net/jobs/p/1XOMELtShdah-Flask-Python-Backend-Developer-Virtual-Worker-Now-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb,
Senior Backend Developer (Python/Django),Valify -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · RESTful · Python · OOP · Information Technology (IT) · Software Engineering · Software Development,https://wuzzuf.net/jobs/p/8dCtCCGcqsia-Senior-Backend-Developer-PythonDjango-Valify-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb,
Backend Developer (Python/Ruby),Nile University -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · back-end · Programming · Python · Ruby · Software Development · Computer Science · Information Technology (IT) · OWASP,https://wuzzuf.net/jobs/p/288nNuGDYeOx-Backend-Developer-PythonRuby-Nile-University-Giza-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb,
Senior Python Linux Engineer,El-Sewedy Electrometer -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Python · C++ · Information Technology (IT) · Computer Science · SQL · Programming · Electronics,https://wuzzuf.net/jobs/p/AKDnfcob97rW-Senior-Python-Linux-Engineer-El-Sewedy-Electrometer-Giza-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb,
Senior Python Developer,FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · JavaScript · HTML · CSS · Angular · Git,https://wuzzuf.net/jobs/p/m1IJgo1YYNw8-Senior-Python-Developer-FlairsTech-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb,
